Name   tor.angle pol.angle R      z      shift	dtheta	dphi	R/Ohm	Aeff/m^2
===============================================================================
C04-01	1.5707963 0.1715658 2.5002 0.1473 0.0 1.65075 0.0000 65.7 0.3634
C04-02	1.5707963 0.3546509 2.4747 0.3054 0.0 1.78694 0.0000 1.0000 0.3634
C04-16	1.5707963 2.9087657 0.9802 0.1588 0.0 -1.58139 0.0000 87.7 0.3634
C04-17	1.5707963 3.3751177 0.9802 -0.1593 0.0 -1.56024 0.0000 64.1 0.3634
C05-01	2.3561945 0.0963422 2.5054 0.0826 0.0 1.65075 0.0000 61.6 0.3634
C05-20	2.3561945 3.0056315 0.9795 0.0917 0.0 -1.58139 0.0000 86.3 0.3634
C05-21	2.3561945 3.2775536 0.9795 -0.0917 0.0 -1.56024 0.0000 86.3 0.3634
C07-01	3.1415926 0.1715658 2.5002 0.1473 0.0 1.65075 0.0000 59.2 0.3634
C07-02	3.1415926 0.3546509 2.4747 0.3054 0.0 1.78694 0.0000 1.0000 0.3634
C07-03	3.1415926 0.5314527 2.4316 0.4597 0.0 1.90636 0.0000 1.0000 0.3634
C07-04	3.1415926 0.7415904 2.3537 0.6446 0.0 2.05181 0.0000 1.0000 0.3634
C07-05	3.1415926 0.9981538 2.2111 0.8704 0.0 2.22834 0.0000 1.0000 0.3634
C07-06	3.1415926 1.2311553 2.0271 1.0672 0.0 2.40271 0.0000 1.0000 0.3634
C07-07	3.1415926 1.4081317 1.8478 1.2060 0.0 2.60022 0.0000 1.0000 0.3634
C07-08	3.1415926 1.5311774 1.6998 1.2728 0.0 2.87763 0.0000 1.0000 0.3634
C07-09	3.1415926 1.7011724 1.4803 1.2957 0.0 3.26568 0.0000 1.0000 0.3634
C07-10	3.1415926 1.8811159 1.2604 1.2149 0.0 -2.57371 0.0000 1.0000 0.3634
C07-11	3.1415926 2.0629792 1.0904 1.0455 0.0 -2.16585 0.0000 1.0000 0.3634
C07-12	3.1415926 2.1916099 1.0193 0.8787 0.0 -1.81058 0.0000 1.0000 0.3634
C07-14	3.1415926 2.4947736 0.9901 0.4984 0.0 -1.62706 0.0000 1.0000 0.3634
C07-15	3.1415926 2.7005480 0.9835 0.3146 0.0 -1.59933 0.0000 1.0000 0.3634
C07-16	3.1415926 2.9087657 0.9802 0.1588 0.0 -1.58139 0.0000 87.3 0.3634
C07-17	3.1415926 3.3751177 0.9802 -0.1593 0.0 -1.56024 0.0000 1.0000 0.3634
C07-18	3.1415926 3.5838591 0.9835 -0.3156 0.0 -1.53791 0.0000 1.0000 0.3634
